# TF-IDF Weighting From http://kertarahayu.desa.id/kategori/kabar/
term,term_id,weight,corpus_id
perusahaan,1516,0.67532973755,corpus_19
pinjaman,1463,0.672513609187,corpus_18
jamur,1022,0.650492317431,corpus_14
keluarga,1208,0.571127529113,corpus_16
seni,447,0.552787790992,corpus_6
pekarangan,758,0.50684072358,corpus_11
jalan,77,0.466911194238,corpus_17
bri,339,0.462251107683,corpus_5
lembaga-lembaga,561,0.454663214616,corpus_8
pkk,634,0.437412104295,corpus_9
pajak,692,0.403921784953,corpus_10
pedesaan,491,0.393192082242,corpus_7
sie,889,0.39086419822,corpus_12
tani,896,0.386262949433,corpus_12
pembangunan,104,0.363904325671,corpus_7
suara,314,0.363098323955,corpus_4
pps,303,0.363098323955,corpus_4
pengisian,1108,0.359412798503,corpus_15
kartani,1088,0.359412798503,corpus_15
posyandu,115,0.343845909426,corpus_2
panca,369,0.330179362631,corpus_5
mandala,357,0.330179362631,corpus_5
balita,139,0.326351824809,corpus_2
santri,244,0.325543944776,corpus_3
bidan,142,0.318445134912,corpus_2
upk,1468,0.298894937416,corpus_18
tp,644,0.29606486668,corpus_9
ny,627,0.29606486668,corpus_9
pemilihan,292,0.290478659164,corpus_4
petani,874,0.290310719941,corpus_13
foam,1084,0.287530238803,corpus_15
seniman,448,0.276393895496,corpus_6
kesenian,421,0.276393895496,corpus_6
panitia,42,0.275928964521,corpus_4
mandalamekar,30,0.274446680769,corpus_0
tahap,126,0.269442997044,corpus_1
luas,563,0.255793248726,corpus_10
setapak,123,0.247932370817,corpus_17
pengecoran,108,0.245272610594,corpus_1
stts,702,0.242353070972,corpus_10
membayar,684,0.242353070972,corpus_10
kelompok,418,0.240249356845,corpus_18
rombongan,48,0.238042242594,corpus_0
h-1,14,0.238042242594,corpus_0
dijadwalkan,12,0.238042242594,corpus_0
09,0,0.238042242594,corpus_0
kesehatan,161,0.237781408551,corpus_16
rp,508,0.236603068705,corpus_18
budidaya,1007,0.236542660884,corpus_14
